"","Village","Site","Treatment","alpha_rich","alpha_ENSPIE"
"1","APA1","APA1ab","Control",5,2.22980659840728
"2","APA1","APA1bgrnf","CAFA",14,3.28526351626269
"3","APA10","APA10bgpnf","CPFA",11,1.40415164791977
"4","APA10","APA10bgrnf","CAFA",13,3.3603395071596
"5","APA12","APA12ab","Control",9,2.04917052821525
"6","APA12","APA12bgrnf","CAFA",14,4.3826665638891
"7","APA15","APA15bgpnf","CPFA",6,2.52962409621698
"8","APA16","APA16bgrnf","CAFA",7,2.30119809884606
"9","APA17","APA17bgpnf","CPFA",13,1.52849685672812
"10","APA17","APA17bgrnf","CAFA",10,1.9891504687186
"11","APA18","APA18bgpnf","CPFA",12,2.72640930175877
"12","APA18","APA18bgrnf","CAFA",8,2.2916873406466
"13","APA19","APA19ab","Control",6,2.26676202787594
"14","APA19","APA19bgrnf","CAFA",13,4.74452582616768
"15","APA20","APA20ab","Control",8,1.79537459948162
"16","APA20","APA20bgrnf","CAFA",13,5.89291444019151
"17","APA21","APA21bgpnf","CPFA",10,2.1191193761572
"18","APA21","APA21bgrnf","CAFA",13,4.53890360301834
"19","APA5","APA5bgrnf","CAFA",7,5.82132685439867
"20","APA6","APA6ab","Control",6,4.39169017663424
"21","APA6","APA6bgrnf","CAFA",7,3.59282310686847
"22","APA7","APA7ab","Control",4,3.66915973982241
"23","APA7","APA7bgpnf","CPFA",9,1.83678244300157
"24","APA7","APA7bgrnf","CAFA",13,3.8966241057828
"25","APA8","APA8bgrnf","CAFA",15,4.27986052192398
"26","APC1","APC1ab","Control",11,1.6265280044989
"27","APC1","APC1bgrnf","CAFA",20,6.60850082800273
"28","APC10","APC10ab","Control",15,4.47612475434675
"29","APC10","APC10bgrnf","CAFA",11,1.6421690582726
"30","APC11","APC11ab","Control",8,1.26664871780024
"31","APC11","APC11bgrnf","CAFA",11,4.00926560097179
"32","APC12","APC12ab","Control",12,2.46234043511866
"33","APC12","APC12bgpnf","CPFA",10,1.61854483334653
"34","APC12","APC12bgrnf","CAFA",6,2.98970893478625
"35","APC13","APC13bgpnf","CPFA",5,4.07309501635743
"36","APC13","APC13bgrnf","CAFA",7,1.78587206731085
"37","APC14","APC14bgrnf","CAFA",5,1.18274762607185
"38","APC2","APC2bgpnf","CPFA",13,1.9781484282578
"39","APC2","APC2bgrnf","CAFA",12,3.19157480044913
"40","APC3","APC3ab","Control",5,1.14832402958924
"41","APC3","APC3bgrnf","CAFA",12,6.73740954068823
"42","APC4","APC4ab","Control",13,2.23018941108022
"43","APC4","APC4bgpnf","CPFA",9,1.69337437236035
"44","APC4","APC4bgrnf","CAFA",12,1.47401281270283
"45","APC5","APC5bgpnf","CPFA",16,1.44904143434127
"46","APC5","APC5bgrnf","CAFA",6,3.02412838271443
"47","APC6","APC6ab","Control",7,2.26774718663741
"48","APC6","APC6bgrnf","CAFA",5,2.42566151655447
"49","APC7","APC7bgpnf","CPFA",8,2.86546762975714
"50","APC7","APC7bgrnf","CAFA",7,2.35090651757639
"51","APC8","APC8ab","Control",6,1.37653063869756
"52","APC8","APC8bgrnf","CAFA",6,3.05443870481382
"53","APC9","APC9bgrnf","CAFA",6,2.34497917815665
