"","NMDS1","NMDS2","Site","Village","Treatment"
"6",0.950023915118802,-0.0532077645082142,"APA7ab","APA7","Control"
"13",0.706124143124616,-0.632922423565747,"APC6ab","APC6","Control"
"11",-1.21442350401535,-0.240700836469474,"APC3ab","APC3","Control"
"14",-1.20597491199385,-0.141981795482726,"APC8ab","APC8","Control"
"2",-0.69640906885047,0.234246190210889,"APA19ab","APA19","Control"
"3",0.964433746107623,1.14603277670436,"APA1ab","APA1","Control"
"22",0.0848963137508787,-0.352272709779765,"APC13bgpnf","APC13","CPFA"
"20",-0.675590064291068,-0.324227773384957,"APA7bgpnf","APA7","CPFA"
"24",-0.902340700611845,-0.267381261879277,"APC4bgpnf","APC4","CPFA"
"25",-0.985618687424649,-0.172009447803268,"APC5bgpnf","APC5","CPFA"
"17",-0.961938933698449,-0.0127246249673644,"APA17bgpnf","APA17","CPFA"
"26",0.537644059680018,0.788485669737595,"APC7bgpnf","APC7","CPFA"
"44",0.877614972438711,-0.930525047449609,"APC14bgrnf","APC14","CAFA"
"27",0.36457906590447,-0.960927366864463,"APA10bgrnf","APA10","CAFA"
"47",-0.194637519560919,-0.742044302830759,"APC3bgrnf","APC3","CAFA"
"34",-1.16233640036638,0.409137327960708,"APA20bgrnf","APA20","CAFA"
"53",-0.44440341999799,1.00820206993671,"APC9bgrnf","APC9","CAFA"
"42",0.105924776435528,1.3904355020467,"APC12bgrnf","APC12","CAFA"
"30",0.573060930278864,1.55898439009102,"APA17bgrnf","APA17","CAFA"
"33",1.05661179082252,0.419781129653257,"APA1bgrnf","APA1","CAFA"
