"","Scientific_name"
"1","Acalypha scabrosa Sw."
"3","Afrohybanthus enneaspermus (L.) Flicker"
"5","Ageratum conyzoides L."
"6","Alysicarpus monilifer (L.) DC."
"12","Andrographis echioides (L.) Nees"
"20","Apluda mutica L."
"30","Apocopis mangalorensis (Hochst. ex Steud.) Henrard"
"31","Aristida adscensionis L."
"32","Aristida funiculata Trin. & Rupr."
"33","Aristida hystrix L.f."
"35","Aristida redacta Stapf"
"37","Aristida setacea Retz."
"40","Arundinella nervosa (Roxb.) Nees ex Hook. & Arn."
"67","Boerhavia diffusa L."
"68","Bothriochloa pertusa (L.) A.Camus"
"69","Bulbostylis barbata (Rottb.) C.B.Clarke"
"70","Cajanus scarabaeoides (L.) Thouars"
"73","Celosia argentea L."
"74","Chamaecrista absus (L.) H.S.Irwin & Barneby"
"75","Chamaecrista pumila (Lam.) V.Singh"
"77","Chrysopogon fulvus (Spreng.) Chiov."
"108","Crotalaria evolvuloides Wight"
"114","Crotalaria hebecarpa (DC.) Rudd"
"141","Cyanotis tuberosa (Roxb.) Schult. & Schult.f."
"145","Cyanthillium albicans (DC.) H.Rob."
"148","Cyanthillium cinereum (L.) H.Rob."
"149","Cymbopogon martini (Roxb.) W.Watson"
"151","Cymbopogon sp."
"185","Eragrostiella bifaria (Vahl) Bor"
"189","Eragrostis tenella (L.) P.Beauv. ex Roem. & Schult."
"190","Euphorbia deccanensis V.S.Raju"
"196","Euphorbia rosea Retz."
"209","Evolvulus alsinoides (L.) L."
"213","Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult."
"255","Hibiscus lobatus (Murray) Kuntze"
"256","Indigofera glabra L."
"257","Indigofera linifolia (L.f.) Retz."
"258","Justicia vahliana Schult."
"270","Lepidagathis cristata Willd."
"318","Leucas aspera (Willd.) Link"
"326","Leucas zeylanica (L.) W.T.Aiton"
"333","Mitracarpus hirtus (L.) DC."
"343","Oldenlandia umbellata L."
"361","Parasopubia delphiniifolia (L.) H.-P.Hofm. & Eb.Fisch."
"365","Phyllanthus virgatus G.Forst."
"367","Polycarpaea corymbosa (L.) Lam."
"375","Polygala javana DC."
"377","Pulicaria wightiana (DC.) C.B.Clarke"
"415","Rhynchosia rufescens DC."
"420","Rhynchosia suaveolens (L.f.) DC."
"421","Rostellularia obtusa Nees"
"427","Sehima nervosa (Rottler) Stapf"
"429","Sesamum prostratum Retz."
"431","Spermacoce hispida L."
"437","Spermacoce pusilla Wall."
"472","Sphaeranthus indicus L."
"473","Stylosanthes scabra Vogel"
"475","Tephrosia strigosa (Dalzell) Santapau & Maheshw."
"481","Tephrosia villosa (L.) Pers."
"487","Tricholepis radicans (Roxb.) Wight"
"488","Trichuriella monsoniae (L.f.) Bennet"
"489","Tridax procumbens L."
"499","Vicoa indica (L.) DC."
"507","Vigna aconitifolia (Jacq.) Maréchal"
"508","Vigna trilobata (L.) Verdc."
"509","Waltheria indica L."
"510","Xenostegia tridentata (L.) D.F.Austin & Staples"
